date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:07	155715/155715	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202022%2016:53:07%20GMT	https://www.dropbox.com/login?cont=%2Fhome	C:/My%20Web%20Sites/dropbox%20dois/www.dropbox.com/logined4c.html	(from )
13:53:07	670/670	---M--	200	added ('OK')	text/plan	date:Wed,%2021%20Dec%202022%2016:53:08%20GMT	https://www.dropbox.com/robots.txt		(from )
13:53:08	110876/110876	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20Dec%202022%2017:48:41%20GMT	https://cfl.dropboxstatic.com/static/metaserver/static/css/main-vflJq78kL.css	C:/My%20Web%20Sites/dropbox%20dois/cfl.dropboxstatic.com/static/metaserver/static/css/main-vflJq78kL.css	(from https://www.dropbox.com/login?cont=%2Fhome)
13:53:08	157516/157516	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202022%2016:53:08%20GMT	https://www.dropbox.com/login	C:/My%20Web%20Sites/dropbox%20dois/www.dropbox.com/login.html	(from https://www.dropbox.com/login?cont=%2Fhome)
13:53:08	582/582	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202022%2001:27:03%20GMT	https://cfl.dropboxstatic.com/static/metaserver/static/images/logo_catalog/dropbox_webclip_60_vis.png	C:/My%20Web%20Sites/dropbox%20dois/cfl.dropboxstatic.com/static/metaserver/static/images/logo_catalog/dropbox_webclip_60_vis.png	(from https://www.dropbox.com/login?cont=%2Fhome)
13:53:08	2593/2593	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202022%2008:24:04%20GMT	https://cfl.dropboxstatic.com/static/metaserver/static/images/logo_catalog/dropbox_webclip_76_vis.png	C:/My%20Web%20Sites/dropbox%20dois/cfl.dropboxstatic.com/static/metaserver/static/images/logo_catalog/dropbox_webclip_76_vis.png	(from https://www.dropbox.com/login?cont=%2Fhome)
13:53:09	2760/2760	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202022%2011:26:42%20GMT	https://cfl.dropboxstatic.com/static/metaserver/static/images/logo_catalog/dropbox_webclip_120_vis.png	C:/My%20Web%20Sites/dropbox%20dois/cfl.dropboxstatic.com/static/metaserver/static/images/logo_catalog/dropbox_webclip_120_vis.png	(from https://www.dropbox.com/login?cont=%2Fhome)
13:53:09	909/909	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Dec%202022%2008:27:59%20GMT	https://cfl.dropboxstatic.com/static/metaserver/static/images/logo_catalog/dropbox_webclip_152_vis.png	C:/My%20Web%20Sites/dropbox%20dois/cfl.dropboxstatic.com/static/metaserver/static/images/logo_catalog/dropbox_webclip_152_vis.png	(from https://www.dropbox.com/login?cont=%2Fhome)
13:53:09	454/454	---MCZ	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2016:26:07%20GMT	https://cfl.dropboxstatic.com/static/metaserver/static/css/dropbox/2015/layout-vflvc3veE.css	C:/My%20Web%20Sites/dropbox%20dois/cfl.dropboxstatic.com/static/metaserver/static/css/dropbox/2015/layout-vflvc3veE.css	(from https://www.dropbox.com/login?cont=%2Fhome)
13:53:10	13995/13995	---MCZ	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2016:26:07%20GMT	https://cfl.dropboxstatic.com/static/metaserver/static/css/dropbox/2015/pages/index-vflPKjvNC.css	C:/My%20Web%20Sites/dropbox%20dois/cfl.dropboxstatic.com/static/metaserver/static/css/dropbox/2015/pages/index-vflPKjvNC.css	(from https://www.dropbox.com/login?cont=%2Fhome)
13:53:10	8962/8962	---MCZ	200	added ('OK')	text/css	date:Tue,%2022%20Nov%202022%2006:56:06%20GMT	https://cfl.dropboxstatic.com/static/metaserver/static/css/google_one_tap-vflMWGYTu.css	C:/My%20Web%20Sites/dropbox%20dois/cfl.dropboxstatic.com/static/metaserver/static/css/google_one_tap-vflMWGYTu.css	(from https://www.dropbox.com/login?cont=%2Fhome)
13:53:10	685/685	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20Dec%202022%2017:48:41%20GMT	https://cfl.dropboxstatic.com/static/metaserver/static/css/notify-vfl4oJv2S.css	C:/My%20Web%20Sites/dropbox%20dois/cfl.dropboxstatic.com/static/metaserver/static/css/notify-vfl4oJv2S.css	(from https://www.dropbox.com/login?cont=%2Fhome)
13:53:10	17856/17856	---MCZ	200	added ('OK')	text/css	date:Fri,%2002%20Dec%202022%2020:15:09%20GMT	https://cfl.dropboxstatic.com/static/metaserver/static/css/signup_signin/dwg_refresh_exp-vfl_5LPxe.css	C:/My%20Web%20Sites/dropbox%20dois/cfl.dropboxstatic.com/static/metaserver/static/css/signup_signin/dwg_refresh_exp-vfl_5LPxe.css	(from https://www.dropbox.com/login?cont=%2Fhome)
13:53:10	153351/153351	---MCZ	200	added ('OK')	text/css	date:Thu,%2021%20Jul%202022%2021:40:58%20GMT	https://cfl.dropboxstatic.com/static/metaserver/static/css/sprites/web_sprites-vflqmyrXQ.css	C:/My%20Web%20Sites/dropbox%20dois/cfl.dropboxstatic.com/static/metaserver/static/css/sprites/web_sprites-vflqmyrXQ.css	(from https://www.dropbox.com/login?cont=%2Fhome)
13:53:11	410348/410348	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Nov%202022%2020:47:05%20GMT	https://cfl.dropboxstatic.com/static/typescript/component_libraries/dwg-components/src/index.web-vflWvw6lp.css	C:/My%20Web%20Sites/dropbox%20dois/cfl.dropboxstatic.com/static/typescript/component_libraries/dwg-components/src/index.web-vflWvw6lp.css	(from https://www.dropbox.com/login?cont=%2Fhome)
